protein	compound	aveaffinty
CHEMBL2001	CHEMBL2172278	372
CHEMBL2001	CHEMBL566913	0.83
CHEMBL2001	CHEMBL589901	2
CHEMBL2001	CHEMBL551020	18.5
CHEMBL2001	CHEMBL551750	3640
CHEMBL2001	CHEMBL570242	4.3
CHEMBL2001	CHEMBL592881	11
CHEMBL2001	CHEMBL570384	8.1
CHEMBL2001	CHEMBL567561	0.46
CHEMBL2001	CHEMBL599400	33
CHEMBL2001	CHEMBL570386	2.5
CHEMBL2001	CHEMBL2172266	303
CHEMBL2001	CHEMBL2172264	283
CHEMBL2001	CHEMBL599825	31
CHEMBL2001	CHEMBL2172155	48
CHEMBL2001	CHEMBL2172277	139
CHEMBL2001	CHEMBL2172154	51
CHEMBL2001	CHEMBL571812	12
CHEMBL2001	CHEMBL538415	47
CHEMBL2001	CHEMBL570285	3.5
CHEMBL2001	CHEMBL570271	8.4
CHEMBL2001	CHEMBL570275	0.99
CHEMBL2001	CHEMBL598594	45
CHEMBL2001	CHEMBL590746	2.6
CHEMBL2001	CHEMBL590744	2.6
CHEMBL2001	CHEMBL2172166	173
CHEMBL2001	CHEMBL606408	39
CHEMBL2001	CHEMBL567740	0.6
CHEMBL2001	CHEMBL592535	11
CHEMBL2001	CHEMBL598374	47
CHEMBL2001	CHEMBL603150	2.6
CHEMBL2001	CHEMBL598386	45
CHEMBL2001	CHEMBL596750	11
CHEMBL2001	CHEMBL600370	10
CHEMBL2001	CHEMBL568211	0.79
CHEMBL2001	CHEMBL598588	42
CHEMBL2001	CHEMBL549308	2440
CHEMBL2001	CHEMBL567772	3.6
CHEMBL2001	CHEMBL599197	46
CHEMBL2001	CHEMBL591945	45
CHEMBL2001	CHEMBL549307	1610
CHEMBL2001	CHEMBL567468	8.4
CHEMBL2001	CHEMBL398435	14
CHEMBL2001	CHEMBL567133	0.7
CHEMBL2001	CHEMBL570387	1.5
CHEMBL2001	CHEMBL2103828	23
CHEMBL2001	CHEMBL598161	10
CHEMBL2001	CHEMBL2172275	86
CHEMBL2001	CHEMBL502519	21
CHEMBL2001	CHEMBL603145	10
CHEMBL2001	CHEMBL598375	44
CHEMBL2123	CHEMBL14249	630.96
CHEMBL226	CHEMBL261515	640
CHEMBL226	CHEMBL1800739	803
CHEMBL226	CHEMBL1082005	25
CHEMBL226	CHEMBL1800733	2040
CHEMBL226	CHEMBL464859	52.732
CHEMBL226	CHEMBL1800736	515
CHEMBL226	CHEMBL1082006	914
CHEMBL226	CHEMBL172	14044
CHEMBL226	CHEMBL1290323	68
CHEMBL226	CHEMBL52648	137
CHEMBL226	CHEMBL1800738	615
CHEMBL226	CHEMBL122622	2.6
CHEMBL226	CHEMBL1289569	8.6
CHEMBL226	CHEMBL188269	460
CHEMBL226	CHEMBL260718	14
CHEMBL226	CHEMBL222500	310
CHEMBL226	CHEMBL1795499	455
CHEMBL226	CHEMBL595845	66
CHEMBL226	CHEMBL374028	1820
CHEMBL226	CHEMBL48278	1133
CHEMBL226	CHEMBL526122	373
CHEMBL226	CHEMBL593259	67
CHEMBL226	CHEMBL1090810	4860
CHEMBL226	CHEMBL364036	350
CHEMBL226	CHEMBL1089902	498
CHEMBL226	CHEMBL1079804	374
CHEMBL226	CHEMBL1090489	1010
CHEMBL226	CHEMBL1080500	702
CHEMBL226	CHEMBL253753	2041
CHEMBL226	CHEMBL214228	171
CHEMBL226	CHEMBL502005	2379
CHEMBL226	CHEMBL371436	1680
CHEMBL226	CHEMBL407064	908
CHEMBL226	CHEMBL1290210	15
CHEMBL226	CHEMBL376542	7
CHEMBL226	CHEMBL1082171	320
CHEMBL226	CHEMBL427178	8720
CHEMBL226	CHEMBL421420	870
CHEMBL226	CHEMBL222194	358
