protein	compound	aveaffinty
CHEMBL1881	CHEMBL173680	2400
CHEMBL1881	CHEMBL249954	2440
CHEMBL1881	CHEMBL249539	2830
CHEMBL1881	CHEMBL220802	8600
CHEMBL1881	CHEMBL258332	1000
CHEMBL1881	CHEMBL180343	940
CHEMBL1881	CHEMBL398948	29
CHEMBL1881	CHEMBL180742	2100
CHEMBL1881	CHEMBL400446	6290
CHEMBL1881	CHEMBL272276	2540
CHEMBL1881	CHEMBL249341	2760
CHEMBL1881	CHEMBL207203	390
CHEMBL1881	CHEMBL251710	173
CHEMBL1881	CHEMBL360290	3900
CHEMBL1881	CHEMBL181035	8
CHEMBL1881	CHEMBL180389	7300
CHEMBL1881	CHEMBL217991	8000
CHEMBL1881	CHEMBL423815	12000
CHEMBL1881	CHEMBL220821	1600
CHEMBL1881	CHEMBL218123	860
CHEMBL1881	CHEMBL220820	940
CHEMBL1987	CHEMBL36817	436
CHEMBL1987	CHEMBL37853	1.5
CHEMBL1987	CHEMBL173299	3
CHEMBL1987	CHEMBL479664	16400
CHEMBL1987	CHEMBL173811	1424
CHEMBL1987	CHEMBL425681	12
CHEMBL1987	CHEMBL482018	7400
CHEMBL1987	CHEMBL289373	76
CHEMBL1987	CHEMBL290969	326
CHEMBL1987	CHEMBL517377	6100
CHEMBL1987	CHEMBL482330	6400
CHEMBL1987	CHEMBL289568	42
CHEMBL1987	CHEMBL482158	4200
CHEMBL1987	CHEMBL1628652	4
CHEMBL1987	CHEMBL40183	16
CHEMBL1987	CHEMBL290571	4400
CHEMBL1987	CHEMBL173680	17
CHEMBL1987	CHEMBL481813	10200
CHEMBL1987	CHEMBL39784	8.6
CHEMBL1987	CHEMBL172250	320
CHEMBL1987	CHEMBL434173	90
CHEMBL1987	CHEMBL36901	540
CHEMBL1987	CHEMBL479633	27400
CHEMBL1987	CHEMBL286132	210
CHEMBL1987	CHEMBL36911	210
CHEMBL1987	CHEMBL369797	11
CHEMBL1987	CHEMBL416784	290
CHEMBL1987	CHEMBL1081186	600
CHEMBL1987	CHEMBL404199	340
CHEMBL1987	CHEMBL35715	1620
CHEMBL1987	CHEMBL288277	2140
CHEMBL1987	CHEMBL37244	630
CHEMBL1987	CHEMBL2311147	34
CHEMBL1987	CHEMBL426559	9991
CHEMBL1987	CHEMBL402162	2000
CHEMBL1987	CHEMBL176692	63
CHEMBL1987	CHEMBL289660	3630
CHEMBL1987	CHEMBL479439	7600
CHEMBL1987	CHEMBL479263	3800
CHEMBL1987	CHEMBL815	4.75
CHEMBL1987	CHEMBL36041	1.8
CHEMBL1987	CHEMBL173499	29
CHEMBL1987	CHEMBL39746	5890
CHEMBL1987	CHEMBL426387	14000
CHEMBL1987	CHEMBL287080	10
CHEMBL1987	CHEMBL1084009	6400
CHEMBL1995	CHEMBL1813282	570
CHEMBL1995	CHEMBL268051	220
CHEMBL1995	CHEMBL191175	2900
CHEMBL1995	CHEMBL132589	56
CHEMBL1995	CHEMBL363350	41
CHEMBL1995	CHEMBL1813287	2200
CHEMBL1995	CHEMBL495	775
CHEMBL1995	CHEMBL1915864	1700
